id,product_id,disliked_id
582,1476,2
583,1476,5
584,1493,2
585,1493,7
586,1493,10
587,1497,2
588,1497,13
589,1500,2
590,1500,0
591,1500,13
592,1525,2
593,1525,4
594,1525,5
595,1525,0
596,1526,2
597,1527,2
598,1527,13
599,1527,11
600,1528,2
601,1529,2
602,1529,13
603,1529,0
604,1529,15
605,1531,2
606,1531,13
607,1533,2
608,1538,2
609,1538,13
610,1540,2
611,1542,2
612,1542,10
613,1542,13
614,1543,2
615,1543,4
616,1543,13
617,1544,2
618,1544,0
619,1544,5
620,1544,13
621,1545,2
622,1545,6
623,1548,2
624,1548,13
625,1548,0
626,1552,0
627,1552,13
628,1559,2
629,1559,13
630,1560,2
631,1560,13
632,1586,2
633,1601,5
634,1602,2
635,1603,2
636,1604,2
637,1606,0
638,1606,13
639,1610,2
640,1620,5
641,1627,16
642,1627,2
643,1628,16
644,1628,2
645,1629,2
646,1629,13
647,1629,5
648,1629,4
649,1630,13
650,1630,2
651,1630,5
652,1633,4
653,1633,5
654,1633,13
655,1633,0
656,1633,2
657,1639,5
658,1639,0
659,1639,4
660,1639,13
661,1640,5
662,1640,0
663,1640,4
664,1640,13
665,1650,0
666,1650,4
667,1650,2
668,1650,13
669,1653,13
670,1654,0
671,1654,5
672,1654,13
673,1655,0
674,1655,13
675,1655,2
676,1655,6
677,1662,0
678,1662,13
679,1666,0
680,1666,13
681,1671,0
682,1671,13
683,1678,0
684,1678,5
685,1678,13
686,1681,0
687,1681,13
688,1682,0
689,1682,13
690,1725,0
691,1725,13
692,1725,6
693,1732,2
694,1732,0
695,1732,13
696,1743,0
697,1743,13
698,1761,0
699,1761,6
700,1761,13
701,1761,2
702,1762,13
703,1762,6
704,1762,0
705,1775,13
706,1775,14
707,1775,6
708,1775,8
709,1787,13
710,1787,6
711,1787,14
712,1787,0
713,1788,13
714,1788,6
715,1788,0
716,1789,0
717,1789,2
718,1789,10
719,1789,13
720,1801,0
721,1801,6
722,1801,13
723,1801,2
724,1804,13
725,1804,6
726,1804,8
727,1804,0
728,1805,13
729,1805,6
730,1805,14
731,1805,0
732,1833,13
733,1879,14
734,1879,8
735,1899,13
736,1978,0
737,1988,13
738,1988,14
739,1989,5
740,1989,13
741,1996,0
742,1996,2
743,2008,2
744,2008,13
745,2008,0
746,2035,0
747,2035,2
748,2035,13
749,2039,2
750,2039,0
751,2040,2
752,2040,0
753,2043,2
754,2043,0
755,2043,13
756,2046,0
757,2046,13
758,2046,2
759,2047,0
760,2047,2
761,2049,2
762,2049,13
763,2049,0
764,2056,0
765,2056,2
766,2056,13
767,2058,2
768,2058,13
769,2058,0
770,2059,0
771,2059,2
772,2059,13
773,2063,2
774,2063,13
775,2063,0
776,2068,2
777,2068,0
778,2068,4
779,2068,13
780,2079,2
781,2079,13
782,2079,0
783,2079,5
784,2080,0
785,2080,2
786,2120,13
787,2120,14
788,2121,13
789,2121,14
790,2122,13
791,2122,14
792,2123,13
793,2123,14
794,2137,14
795,2141,8
796,2141,13
797,2141,0
798,2141,2
799,2143,13
800,2143,0
801,2143,2
802,2143,14
803,2144,13
804,2144,0
805,2144,2
806,2146,13
807,2146,0
808,2146,2
809,2147,8
810,2147,13
811,2147,0
