id,cat_1,cat_2,cat_3,cat_4
271,이/미용,면봉/화장솜,면봉/화장솜,면봉/화장솜
272,이/미용,생수,일반생수,일반생수
273,이/미용,캔디,기능성캔디,기능성캔디
274,이/미용,화장품,메이크업세트,메이크업세트
275,잡곡/면,건면,쌈/또띠아,월남쌈
276,잡곡/면,건면,파스타류,파스타류
277,잡곡/면,양곡,고시히카리,고시히카리
278,잡곡/면,양곡,기타양곡,기타양곡
279,잡곡/면,잡곡,귀리,귀리
280,잡곡/면,잡곡,기타잡곡류,기타잡곡류
281,잡곡/면,잡곡,보리,보리
282,잡곡/면,잡곡,조/수수,조/수수
283,잡곡/면,잡곡,찹쌀,찹쌀
284,잡곡/면,잡곡,콩,콩
285,잡곡/면,잡곡,현미,현미
286,잡곡/면,잡곡,혼합잡곡,혼합잡곡
287,잡곡/면,잡곡,흑미,흑미
288,주류,기타주류,럼,럼
289,주류,기타주류,보드카,보드카
290,주류,기타주류,샴페인,샴페인
291,주류,기타주류,요리주,요리주
292,주류,기타주류,위스키,위스키
293,주류,기타주류,진,진
294,주류,기타주류,칵테일,칵테일
295,주류,맥주,국내맥주,국내맥주
296,주류,맥주,국산맥주,국산맥주
297,주류,맥주,무알콜맥주,무알콜맥주
298,주류,맥주,수입맥주,수입맥주
299,주류,소주,증류식소주,증류식소주
300,주류,와인,레드와인,레드와인
301,주류,와인,로제와인,로제와인
302,주류,와인,스파클링와인,스파클링와인
303,주류,와인,화이트와인,화이트와인
304,주류,전통주,고량주,고량주
305,주류,전통주,과실주,과실주
306,주류,전통주,기타전통주,기타전통주
307,주류,전통주,막걸리,막걸리
308,주류,전통주,사케,사케
309,주류,전통주,일본술,일본술
310,주류,전통주,청주,청주
311,커피차,분말차,과실절임차,매실차
312,커피차,분말차,과실절임차,모과차
313,커피차,분말차,과실절임차,유자차
314,커피차,분말차,기타,견과차
315,커피차,분말차,기타,계피차
316,커피차,분말차,기타,기능성차
317,커피차,분말차,기타,기타
318,커피차,분말차,기타,노니차
319,커피차,분말차,기타,단백질쉐이크
320,커피차,분말차,기타,도라지차
321,커피차,분말차,기타,마차
322,커피차,분말차,기타,콩차
323,커피차,분말차,꿀차,꿀차
324,커피차,분말차,녹차,녹차
325,커피차,분말차,둥굴레차,둥굴레차
326,커피차,분말차,마테차,마테차
327,커피차,분말차,메밀차,메밀차
328,커피차,분말차,밀크티,밀크치
329,커피차,분말차,밀크티,밀크티
330,커피차,분말차,보리차,보리차
331,커피차,분말차,뿌리차,뿌리차
332,커피차,분말차,생강차,생강차
333,커피차,분말차,아이스티,아이스티
334,커피차,분말차,옥수수차,옥수수차
335,커피차,분말차,우엉차,우엉차
336,커피차,분말차,잎차,결명자차
337,커피차,분말차,잎차,그라비올라차
338,커피차,분말차,잎차,기타
339,커피차,분말차,잎차,라벤더
340,커피차,분말차,잎차,모링가차
341,커피차,분말차,잎차,보이차
342,커피차,분말차,잎차,뽕잎차
343,커피차,분말차,잎차,새싹보리
344,커피차,분말차,잎차,자스민
345,커피차,분말차,잎차,히비스커스
346,커피차,분말차,전통차,대추차
347,커피차,분말차,전통차,식혜
348,커피차,분말차,전통차,쌍화차
349,커피차,분말차,전통차,한차
350,커피차,분말차,커피,기능성차
351,커피차,분말차,커피,라떼
352,커피차,분말차,커피,마키아또
353,커피차,분말차,커피,모카
354,커피차,분말차,커피,아메리카노
355,커피차,분말차,커피,원두커피
356,커피차,분말차,커피,인스턴트커피
357,커피차,분말차,커피,카푸치노
358,커피차,분말차,커피,커피
359,커피차,분말차,커피,헤이즐넛
360,커피차,분말차,코코아/핫초코,딸기맛
361,커피차,분말차,코코아/핫초코,라떼
362,커피차,분말차,코코아/핫초코,바닐라맛
363,커피차,분말차,코코아/핫초코,초코맛
364,커피차,분말차,허브차,레몬밤
365,커피차,분말차,허브차,루이보스
366,커피차,분말차,허브차,얼그레이
367,커피차,분말차,허브차,쟈스민
368,커피차,분말차,허브차,캐모마일
369,커피차,분말차,허브차,페퍼민트
370,커피차,분말차,허브차,허브차
371,커피차,분말차,홍차,홍차
372,커피차,액상차,과실절임차,깔라만시
373,커피차,액상차,과실절임차,노니차
374,커피차,액상차,과실절임차,레몬차
375,커피차,액상차,과실절임차,매실차
376,커피차,액상차,과실절임차,모과
377,커피차,액상차,과실절임차,모과차
378,커피차,액상차,과실절임차,블루베리
379,커피차,액상차,과실절임차,산수유
380,커피차,액상차,과실절임차,석류차
381,커피차,액상차,과실절임차,오렌지
382,커피차,액상차,과실절임차,오미자차
383,커피차,액상차,과실절임차,유자차
384,커피차,액상차,과실절임차,한라봉차
385,커피차,액상차,기타,기타
386,커피차,액상차,기타,도라지차
387,커피차,액상차,생강차,생강차
388,커피차,액상차,아이스티,아이스티
389,커피차,액상차,전통차,대추차
390,커피차,액상차,전통차,쌍화차
391,커피차,액상차,커피,아메리카노
392,커피차,커피크리머,커피크리머,커피크리머
393,통조림/병,절임/잼,과일잼,과일잼
394,통조림/병,절임/잼,스프레드,스프레드
395,통조림/병,통조림,고기통조림,기타축산통조림
396,통조림/병,통조림,고기통조림,닭가슴살통조림
397,통조림/병,통조림,고기통조림,스팸/햄통조림
398,통조림/병,통조림,과일통조림,과일통조림
399,통조림/병,통조림,과일통조림,기타통조림
400,통조림/병,통조림,과일통조림,복숭아통조림
401,통조림/병,통조림,과일통조림,파인애플통조림
402,통조림/병,통조림,기타통조림,기타통조림
403,통조림/병,통조림,기타통조림,번데기통조림
404,통조림/병,통조림,기타통조림,옥수수/반찬통조림
405,통조림/병,통조림,기타통조림,채소통조림
406,통조림/병,통조림,참치통조림,참치통조림
407,통조림/병,통조림,채소통조림,채소통조림
408,통조림/병,통조림,해물통조림,고등어통조림
409,통조림/병,통조림,해물통조림,골뱅이통조림
410,통조림/병,통조림,해물통조림,기타수산통조림
411,통조림/병,통조림,해물통조림,꽁치통조림
412,통조림/병,통조림,해물통조림,참치통조림
