기존,전처리
바베큐폭찹소스,바베큐폭찹소스
 11.8Brix이상, Brix이상
미향[레몬식초{레몬농축과즙(레몬:이스라엘산)},미향
쇼트닝Ⅰ(가공유지(팜핵에스테르화유(말레이시아산),쇼트닝Ⅰ
현미유100%(태국산),현미유
춘장(대두),춘장
마가린(가공유지:말레이시아산),마가린
쇠고기칩2.5%[쇠고기(뉴질랜드산),쇠고기칩
가공유지(팜핵경화유;말레이시아산),가공유지
 정제염 2%, 정제염 
혼합메일가루,혼합메일가루
의성마늘(국산)0.80%,의성마늘
유기농녹토미(국산)1%,유기농녹토미
쇼트닝9%,쇼트닝
상황영지버섯추출액[{상황버섯(국산)1.95%,상황영지버섯추출액
쇼트닝(에스테르화유(팜스테이린유(말레이시아산),쇼트닝
미원IG(향미증진제)<양념소금>재제염88%(수입산),미원IG양념소금재제염
청사과레진 [백설탕,청사과레진 
천연향료(레몬향),천연향료
분말간장(대두),분말간장
스테비텐소프트(가용성텍스트린,스테비텐소프트
조개추출물,조개추출물
파래김(국내산) 54%,파래김 
땅콩분태3%,땅콩분태
유기농아기치즈1.0%[유기농자연치즈(뉴질랜드산)],유기농아기치즈
 볶음캐슈넛[캐슈넛(인도산)100%]20%, 볶음캐슈넛
탈지대두분,탈지대두분
혼합식용유[팜올레인유59.98%(말레이시아산),혼합식용유
아스파탐(감미료)}카놀라유,아스파탐카놀라유
블랙커런트40,블랙커런트
합성착향료(말차향,합성착향료
고춧가루(중국산/베트남산),고춧가루
콜라겐화이버,콜라겐화이버
비프분말S101,비프분말S
그릴향(합성착향료),그릴향
 고춧가루(중국산)] 28.7%, 고춧가루 
 홍합엑기스(냉동혼합:국산), 홍합엑기스
조기연육81.49%(수입산/어육,조기연육
가드엠53-신(주정,가드엠신
적강낭콩,적강낭콩
건당근1.54%(중국산),건당근
논산딸기퓨레(국산)3%,논산딸기퓨레
5'이노신산이나트륨],이노신산이나트륨
소맥전분(호주산,소맥전분
우유칼슘-IS,우유칼슘IS
혼합제제(소르비톨액,혼합제제
녹차풍미유/스프-짬뽕육수베이스분말,녹차풍미유스프짬뽕육수베이스분말
닭육수30%),닭육수
사과농축액(사과과즙으로2.5%,사과농축액
 귀리(캐나다산) 5.01%, 귀리 
유기농현미찹쌀(국산)10%,유기농현미찹쌀
 유화제[레시틴(대두)], 유화제
코코넛밀크[코코넛추출물75%(고형분21%이상,코코넛밀크
딸기향),딸기향
 오렌지과육펄프 8.25%, 오렌지과육펄프 
동결건조들깨분말(동결건조생식원료함유비율51%),동결건조들깨분말
진꼬치소스8.96%,진꼬치소스
 레몬 0.8%, 레몬 
깐양(수입산)8.3%,깐양
혼합제제1(정제수,혼합제제
 참맛사골양념분말, 참맛사골양념분말
 싸이덱스-S, 싸이덱스S
 제삼인산칼슘. 유화제, 제삼인산칼슘 유화제
딸기퓨레6%[딸기(국내산/논산)50%,딸기퓨레
액상혼합시즈닝,액상혼합시즈닝
원유(국산)정제수,원유정제수
 아몬드 7.5%(미국산), 아몬드 
돼지고기(수입산)56%,돼지고기
브라질산30%)15%,브라질산
유화제 탈지분유,유화제 탈지분유
진한짬뽕소스4%,진한짬뽕소스
야자에스테르화유(수입산),야자에스테르화유
오미분말[(맵쌀,오미분말
사탕수수시럽,사탕수수시럽
칼집장[물엿{옥수수전분(외국산)100%}25.75%,칼집장
버터[유크림(우유,버터
 비타민0.1%, 비타민
혼합제제2(폴리인산나트륨,혼합제제
밀(국내산)10%,밀
스모크부어스트:돼지고기(국산)65.03%,스모크부어스트돼지고기
브라질)73.41%,브라질
정백당L-글루타민산나트륨(향미증진제)등],정백당L글루타민산나트륨등
고형분(20%)[숙주17.69(국산/무농약),고형분
혼합양념(중국산)[고춧가루6.71%,혼합양념
 전지분유(외국산 : 호주, 전지분유
 참기름(참깨/외국산-베트남/미얀마)0.56%, 참기름
볶은커피:미국산)11.22%,볶은커피미국산
아르헨티나산등)},아르헨티나산등
 치킨부용베이스(대두), 치킨부용베이스
참깨3.3%,참깨
소양념소스[몽고진간장죽품{산분해간장(탈지대두:외국산)},소양념소스
뉴질랜드산(원유,뉴질랜드산
파인애플농축액(미국산)0.1%],파인애플농축액
포도농축과즙(포도과즙으로 1.6%),포도농축과즙
돼지고기83.77%(국산),돼지고기
젖산칼슘0.12%,젖산칼슘
땡초불소스[과당,땡초불소스
합성착향료(레몬향)3.5%,합성착향료
매콤한비프맛씨즈닝4.9%[비프맛베이스47%{두루치지소스분말36.17%(알찬고추장(대두분/인도산,매콤한비프맛씨즈닝
스위트칠리소스68.51%(태국산),스위트칠리소스
치킨엑기스D2(닭고기:국산),치킨엑기스D
엿기름(국산)1.2%,엿기름
L-글루타민산나트륨(향민증진제)}],L글루타민산나트륨
 녹차풍미유 스프:불고기맛양념분말2호, 녹차풍미유 스프불고기맛양념분말호
멸치액젓(국내산),멸치액젓
로스팅조미분말,로스팅조미분말
쿨리향),쿨리향
문형(쇠뜨기)농축분말[문형(쇠뜨기)추출액,문형농축분말추출액
 대두분(대두:중국산), 대두분
오징어9.37%,오징어
아세셀팜칼륨(합성감미료),아세셀팜칼륨
유기농설탕8.33%(브라질산),유기농설탕
당근(수입산),당근
유화제(글리세린지방산에스테르),유화제
흑미가루  ,흑미가루  
산화방지제(무수아황산)},산화방지제
 오징어조미분말, 오징어조미분말
현미유),현미유
헛개나무추출액 고형분(9%,헛개나무추출액 고형분
 버섯야채조미분말, 버섯야채조미분말
 소포제), 소포제
다시마무농축액,다시마무농축액
씨트러스운슈농축액,씨트러스운슈농축액
합성착향료(야채향),합성착향료
비프맛분말에스-202(향미증진제),비프맛분말에스
 당귀(국산)1.5%, 당귀
배합용빵가루[곡류가공품{밀가루)밀:미국산)},배합용빵가루밀미국산
아미노믹스(L-아르기닌,아미노믹스
 옥배유(수입산) 29%, 옥배유 
오렌지분말,오렌지분말
크리스피브레딩믹스{소맥분(밀:국내산),크리스피브레딩믹스소맥분
동결건조애호박,동결건조애호박
 포도농축과즙, 포도농축과즙
허브추출물0.1%,허브추출물
클로렐라원말(국내산),클로렐라원말
 카제인, 카제인
 코코아파우더(네덜란드산)6%, 코코아파우더
 김치 16.26%[배추(국산), 김치 
아세로라농축분말,아세로라농축분말
비타민B1염산염0.0015%,비타민B염산염
대두단백(대두:중국산),대두단백
크렌베리4%,크렌베리
비타셀WF200(밀식이섬유),비타셀WF
"태움·용뮹소금
고시볼_흑미
찹쌀(국산)","태움용뮹소금
고시볼_흑미
찹쌀"
콜롬비아산),콜롬비아산
국산)50.00%,국산
뉴질랜드산13.04%(원유,뉴질랜드산
혼합양념분말(고춧가루0.4%/중국산),혼합양념분말
혼합제제1,혼합제제
후라이드분말C(밀가루,후라이드분말C
쇼트닝(팜유),쇼트닝
대합조개농축액[대합조개추출액{개조개살(북한산),대합조개농축액
구운캐슈너트19.2%[캐슈너트(외국산:인도,구운캐슈너트
가다랑어추출물40%(고형분24.1%)],가다랑어추출물
 포도당 2%, 포도당 
쌀(국내산) 99%,쌀 
구아검등),구아검등
스모크향),스모크향
건크랜베리15%[미국산/크랜베리(54%,건크랜베리
조미액-씨(소스류),조미액씨
 로메인, 로메인
"탈지분유(우유)]
[곶감인절미]
찹쌀(국산)","탈지분유
"
중국산,중국산
 정제소금] , 정제소금 
 합성향료(코코넛향, 합성향료
비프분말S-101(밀,비프분말S
(계란,
합성착향료(사과민트향,합성착향료
기타가공품기타가공품,기타가공품기타가공품
염장새우[새우(국산)75%,염장새우
프락토올리고당17.25%,프락토올리고당
쇼트닝Ⅰ(팜스테아린유:경화유,쇼트닝Ⅰ
양념프리믹스,양념프리믹스
가공유지Ⅱ,가공유지Ⅱ
혼합제제3(밀크향),혼합제제
 케찹향신료[천연향신료(육두구:인도네시아산), 케찹향신료
두비믹스 Ⅲ (산도조절제,두비믹스 Ⅲ 
우유)}26.66%,우유
시나몬크림[마가린/인도네시아산,시나몬크림
 정제소금(국산62.4%, 정제소금
식물성셀룰로오즈,식물성셀룰로오즈
 식물성유지2[말레이시아산;팜핵경화유(팜핵유, 식물성유지
감자번분,감자번분
 합성착향료(블루베리향)·볶음조미깨:볶음검정깨34%(검은깨100%:중국산), 합성착향료볶음조미깨볶음검정깨
심영순향신즙{향신추출액,심영순향신즙향신추출액
유기농단호박분말(국산)1.8%,유기농단호박분말
청포도농축액(청포도과즙으로 8%,청포도농축액
자두농축과즙(자두과즙으로10%,자두농축과즙
77%),
복합황금추출물(황금(국산),복합황금추출물
양념류(양파,양념류
모짜렐라치즈스틱 51.20%[미국산/우유,모짜렐라치즈스틱 
딸기향,딸기향
강황분(인도산)],강황분
에메랄드마운틴블렌드커피추출액7.3%(고형분:13.8%이상/생두의원산지:콜롬비아산51%,에메랄드마운틴블렌드커피추출액
고추양념(고춧가루3.6%,고추양념
파프리카(황),파프리카
 멥쌀, 멥쌀
황기(국내산)}44.5%,황기
마늘햄씨즈닝[대두,마늘햄씨즈닝
면/쌀가루(쌀:외국산90%,면쌀가루
느타리버섯(국내산),느타리버섯
유화제④),유화제④
비프엑기스-엠(소스류),비프엑기스엠
유기농흑미,유기농흑미
소곱창15%(호주산),소곱창
복합스파이스DWB(우유),복합스파이스DWB
허니버터향분말[버터버드32x(미국산)(유장분말(우유)),허니버터향분말
 맛살, 맛살
 발효식초17.6%[현미당화농축액(현미:국산), 발효식초
마늘쫑70%(국산),마늘쫑
알콘에스,알콘에스
우거지(국내산)10%,우거지
실크랩펩타이드(국산)3.42%,실크랩펩타이드
복합조미품[다시다]1.8%,복합조미품
그레이티드파마산치즈1.5%(미국산),그레이티드파마산치즈
새우분(새우:국내산),새우분
L-발린0.08mg,L발린mg
다시마추출물,다시마추출물
오돌뼈20%),오돌뼈
해물짬뽕시즈닝오일,해물짬뽕시즈닝오일
코리안더분말,코리안더분말
식용해조,식용해조
엑스트라버진올리브유1%(스페인산),엑스트라버진올리브유
 청주{쌀(국산100%), 청주쌀
조미청고추분말,조미청고추분말
미담다시마장(다시다:국내산),미담다시마장
식용류(대두),식용류
 풍미베이스, 풍미베이스
식물성유지(부분경화유(말레이시아산),식물성유지
치킨파우더,치킨파우더
흑후추분),흑후추분
 락토바실러스 LB-9 유산균 발효액1%(유청분말3%(국산), 락토바실러스 LB 유산균 발효액
향미증진제(L-글루타민산나트륨),향미증진제
어육추출액(소스류),어육추출액
옥수수100%(수입산,옥수수
 지황, 지황
적팥(중국산)3%,적팥
옥수수100%(중국산),옥수수
연육81.05%(수입산/어육,연육
트러플올리브오일,트러플올리브오일
혼합식용유지[대두유(외국산),혼합식용유지
대파(국산)1.72%,대파
파슬리농축액,파슬리농축액
중국산)},중국산
액상포도당,액상포도당
쟈스민꽃3%(중국산),쟈스민꽃
쇼트닝Ⅰ(말레이시아산),쇼트닝Ⅰ
혼합제제식품첨가물(찹쌀전분,혼합제제식품첨가물
칼국수면:밀가루(밀/호주산,칼국수면밀가루
가공유지],가공유지
고추장13.3%{밀(미국산,고추장밀
 커피추출농축액 2%(고형분 함량 : 47.8%, 커피추출농축액 
 비타민B₁₂혼합제제, 비타민B₁₂혼합제제
 고추양념(중국산)[고춧가루 6.2%, 고추양념
사골농축액3.51%[사골고형분함량10.67%,사골농축액
 혼압제제(글리세린, 혼압제제
 참기름(참깨100%), 참기름
고꾸미베이스(우유),고꾸미베이스
변성전분:토마토함량76.9%0.2%(네달란드산),변성전분토마토함량
"대두
고시볼-흑깨
찹쌀(국산)","대두
고시볼흑깨
찹쌀"
청피망농축액(야채즙으로0.5%,청피망농축액
쌀추출액(쌀:국산,쌀추출액
토마토페이스트],토마토페이스트
건조케일(국산),건조케일
사클로멕스트린,사클로멕스트린
아질산나트륨(발색제)향신료,아질산나트륨향신료
 타피오카전분(태국산), 타피오카전분
뉴트리오스(난소화성말토덱스트린,뉴트리오스
마더스올리고(갈락토실락토스함유),마더스올리고
 야채추출물분말, 야채추출물분말
에디오피아 등)] 3%,에디오피아 등 
김치18.81%[배추(국산),김치
두유액80%[고형분함량7%이상,두유액
 초콜릿-S[백설탕, 초콜릿S
돼지고기(국내산/갈비31.7%,돼지고기
기장,기장
국내산)3%,국내산
고구마크래커(인도네시아산/타피오카분말,고구마크래커
 글르코노델타락톤, 글르코노델타락톤
복합스파이스에스-2[(대두,복합스파이스에스
멕시코 등)20%,멕시코 등
 고춧가루 1.64%(고추:국산), 고춧가루 
 대두-외국산(국가명은 홈페이지에 별도 표시)], 대두외국산
중국 등)},중국 등
감귤과즙농축액(감귤과즙으로25%,감귤과즙농축액
D-토코페롤(혼합형)우유 물엿,D토코페롤우유 물엿
 전란11.87%, 전란
칠리맛조미분,칠리맛조미분
엿질금,엿질금
찹살가루,찹살가루
커피[맥심 아라비카 100(온두라스산 40%,커피
마가린Ⅱ땅콩버터,마가린Ⅱ땅콩버터
모짜렐라치즈분말,모짜렐라치즈분말
 소맥전분(우리밀100%/:국산), 소맥전분
마카다미아5%[마카다미아(호주산)99.3%,마카다미아
면/소맥분65%(밀:국산),면소맥분
들기름3.7%(들깨,들기름
파라옥시안식향산에틸(합성보존료)}중백당,파라옥시안식향산에틸중백당
유기농적포도농축액(적포도과즙으로5.38%),유기농적포도농축액
 캐나다산)}, 캐나다산
고춧가루(국내산)15%,고춧가루
오렌지농축액(오렌지과즙100%,오렌지농축액
돼지오돌뼈81.964%(국산),돼지오돌뼈
유기농설탕6.91%,유기농설탕
팥적믈앙금24.2%(팥100%:국산),팥적믈앙금
바지락엑기스2.5%{고형함량분47%,바지락엑기스고형함량분
수입산)},수입산
식염0.6%)99.98%(중국산),식염
 옥수수전분11%(외국:러시아, 옥수수전분
정제 포도씨유100%(스페인산),정제 포도씨유
양파칩,양파칩
백복령(국산),백복령
" 물엿(옥분)
편강정과:생강(국산) 80%"," 물엿
편강정과생강 "
(외국산:국가명은 홈페이지에 별도표시)],
효소}5%,효소
조미분1.2%,조미분
딸기농축액(딸기과즙으로1%,딸기농축액
할라빈E,할라빈E
비타민D3혼합제제0.00056%(아라비아검,비타민D혼합제제
찹쌀80%(국산),찹쌀
복분자주,복분자주
대두(외국산:미국산,대두
붉은대게살[붉은대게살70%(영덕산)]5%,붉은대게살
홍삼농축액(국산),홍삼농축액
장내균총개선소재,장내균총개선소재
아미노멕시드콤플렉스(폴리리신),아미노멕시드콤플렉스
적양배추색소)치자황색소),적양배추색소치자황색소
양조간장11.17%{천일염(호주산,양조간장천일염
슈퍼스위트콘믹스-1{알파콘씨(옥수수;프랑스산)}],슈퍼스위트콘믹스알파콘씨
 혼합제제(타피오카산화전분, 혼합제제
 식물성가공유지(팜유), 식물성가공유지
합성착향료(구운마늘향),합성착향료
씨즈닝오일(향미유),씨즈닝오일
소맥(밀,소맥
해바라기씨유/외국산:미국,해바라기씨유외국산미국
쌀가루78%(국산),쌀가루
세균수기준1급A),세균수기준급A
쇠고기49.12%{호주산/(안창살50%,쇠고기호주산
의성마늘1.34%(국산),의성마늘
사탕수수발효혼합액,사탕수수발효혼합액
쇼트닝{팜유(식물성유지)},쇼트닝팜유
스모크오일)5.32%,스모크오일
대보추출물70.5%[백출(국산),대보추출물
코코아(말레이시아산,코코아
 차콜)커피추출액 33.33%(고형분 26% 이상, 차콜커피추출액 
버터31%(우유100%:국산),버터
볶음흑임자분말,볶음흑임자분말
바나나&파인애플식초{3색정통발효식초(사과농축액:중국산,바나나파인애플식초색정통발효식초
부대찌게향미유,부대찌게향미유
돼지고기(국내산69.8%,돼지고기
 유산균분말[(비피도박테리움 비피덤BGN4®, 유산균분말
고추씨,고추씨
 유기대두유(대두:수입산)6.5%, 유기대두유
엿기름(국산)4%,엿기름
메주콩(대두:외국산),메주콩
당근농축분말Y[당근농축액(고형분42%,당근농축분말Y
보이차100%(중국운남성산),보이차
히알루론산10mg(200ml),히알루론산mg
설탕],설탕
향료혼합제제1(정제가공유지,향료혼합제제
생강농축액(생강51%,생강농축액
무2.5%(국내산),무
사과퓨레(국산)5.00%,사과퓨레
조미고추분말[포도당(희석제)89%,조미고추분말
절임배추 70 %[배추 98 %(국산),절임배추  
수입산49%)],수입산
L-아스파라긴,L아스파라긴
발아현미(국산),발아현미
가쓰오부시분말47.00%/인도네시아산)},가쓰오부시분말인도네시아산
우골,우골
나트륨(산화방지제),나트륨
숯불갈비맛엑기스0.1%,숯불갈비맛엑기스
 청양고추(국내산)2.01%, 청양고추
 카레분말{터메릭(인도산)}, 카레분말터메릭
돼지고기[국산,돼지고기
카페인(향미증진제)],카페인
바이오페린,바이오페린
구운소금(국산)0.14%,구운소금
마가린/태국산,마가린태국산
 메론캔디-백설탕, 메론캔디백설탕
포도 100%(국내산),포도 
건미역(건미역100%,건미역
산분해간장(탈지대두:외국산),산분해간장
호두9.12%-미국산,호두미국산
서리태(중국산)7%]30%,서리태
 태양초 함량:5.2%, 태양초 함량
마늘(국내산/무농약),마늘
식용색소 적색40호(합성착색료),식용색소 적색호
 설탕) 파인소프트 GM, 설탕 파인소프트 GM
유청분말[(수입산/우유)/유청분말,유청분말유청분말
*감자수제비가루:밀가루(밀:호주산),감자수제비가루밀가루
 고추장{소맥분(밀:미국산, 고추장소맥분
브라질산,브라질산
유기찹쌀가루3.5%,유기찹쌀가루
간장분말(대두),간장분말
 셀러리농축액, 셀러리농축액
한우모둠뼈44%(국내산),한우모둠뼈
육풍미시즈닝(대두,육풍미시즈닝
 요거트향(네덜란드산)], 요거트향
돼지고기[정육(국내산)20.67%,돼지고기
마늘(국산)1.6%,마늘
비타민B2  스프:김치(새우)[절임배추(국산),비타민B  스프김치
 대두분말, 대두분말
은행(국산),은행
캐슈넛트(외국산 : 인도,캐슈넛트
우유(국내산)1%,우유
버터2%,버터
코코아버터13%(싱가포르,코코아버터
메추리알99.5%,메추리알
호주산)9.87%,호주산
녹차추출농축액,녹차추출농축액
황정,황정
유칼립투스오일),유칼립투스오일
 영지버섯추출물분말, 영지버섯추출물분말
레드커리분말2.7%,레드커리분말
녹용분말),녹용분말
 가당연유(우유, 가당연유
함초염,함초염
우스타소스(액상과당,우스타소스
이스트익스트랙트파우다(효모추출물),이스트익스트랙트파우다
레몬과즙14%),레몬과즙
과당,과당
 지당지방에스테르, 지당지방에스테르
콩기름49.8%[외국산(미국,콩기름
유기농현미(국산)99%,유기농현미
쇠고기92.76%(국내산 횡성축협한우),쇠고기
복합조미식품⓶(대두),복합조미식품⓶
눈꽃동충하초0.26%,눈꽃동충하초
냉동연육(어묵살,냉동연육
옥배유44%(수입산),옥배유
반달핑크건조어묵,반달핑크건조어묵
브라우니프리믹스,브라우니프리믹스
김치찌개분말,김치찌개분말
자몽과피유),자몽과피유
타임홀,타임홀
식물성경화유(싱가폴산)13%,식물성경화유
계란후레이크-1,계란후레이크
밀블랜(미국산),밀블랜
후추분,후추분
메타인산나트륨)},메타인산나트륨
 사과농축액1%(고형분함량50%), 사과농축액
 소맥분60%(미국산, 소맥분
 유자과즙, 유자과즙
 할라피뇨향분말(영국산), 할라피뇨향분말
파4.20%,파
17그레인분말0.8%(국산/보리,그레인분말
꼬꼬염지제2.1%[백설탕,꼬꼬염지제
 강황분2.05%(인도산), 강황분
혼합제제1{합성착향료(밤향),혼합제제합성착향료
불고기양념장11.4%(간장,불고기양념장
혼합제제[산도조절제,혼합제제
 설탕)당근분태 2.63%(중국산), 설탕당근분태 
수삼0.6%,수삼
 김치양념분, 김치양념분
 감자전분(감자:국내산)}, 감자전분
 꽃상추, 꽃상추
유기농설탕11.7%,유기농설탕
난백액(국산,난백액
합성향료(땅콩버터향,합성향료
 천연착향료(사과향), 천연착향료
 가공유지(미국산), 가공유지
당근 블루베리무피클-무,당근 블루베리무피클무
유기찹쌀(국산)66%,유기찹쌀
당침생강,당침생강
중국산)대두유,중국산대두유
커피원두추출액(국내제조)100%(고형분 함량 1.0%) ※커피원재료 원산지 : 케냐,커피원두추출액 커피원재료 원산지  케냐
현미가루(국내산)29.8%,현미가루
구연산나트륨],구연산나트륨
석류농축과즙10%(터키산),석류농축과즙
참깨),참깨
향미유S-2,향미유S
민트세이지허니(독일산)100%{사과,민트세이지허니사과
 합성착향료(라임향), 합성착향료
올레오레진진저(올레오레진생강,올레오레진진저
0.002%,
불고기맛시즈닝0.11%,불고기맛시즈닝
식물성유지(야자경화유),식물성유지
 난황액{난황(계란 : 국산), 난황액난황
배타믹스[밀가루(밀:미국산),배타믹스
대두유99.999%(수입산),대두유
스위트칠리소스50%[태국산/설탕,스위트칠리소스
 블루베리향), 블루베리향
 감미료(수크랄로스, 감미료
크러쉬드토마토10%(미국산/토마토100%),크러쉬드토마토
인도)],인도
케찹,케찹
합성향료(바닐린,합성향료
쇼트닝(대두)크림치즈(반경성치즈)혼합제제(유화제,쇼트닝크림치즈혼합제제
프로필렌글리콜) 오렌지맛:백설탕,프로필렌글리콜 오렌지맛백설탕
세르비아,세르비아
 쇠고기다시다[정제소금(국산), 쇠고기다시다
불고기양념장{진간장(탈지대두/수입산,불고기양념장진간장
대두유[대두/외국산(아르헨티나,대두유
코코아프리퍼레이션(외국산;네덜란드·프랑스·싱가포르),코코아프리퍼레이션
낫토추출물0.00014%[대두,낫토추출물
 비타민B12, 비타민B
구운맛시즈닝,구운맛시즈닝
아질산 나트륨(발색제),아질산 나트륨
패각분말(칼슘38%),패각분말
만두시즈닝(복합조미식품),만두시즈닝
천연향료(레몬향)0.088%,천연향료
브라질산30%)7.7%,브라질산
볶은커피10%(브라질45%,볶은커피
정제수]7.26%,정제수
함침화이트초콜릿[가공유지(팜핵경화유/말레이시아,함침화이트초콜릿
 검정깨분말, 검정깨분말
 가쓰오부시엑기스{가쓰오추출액(가쓰오분말: 인도네시아산), 가쓰오부시엑기스가쓰오추출액
국내산홍삼원액0.3%,국내산홍삼원액
알파미분},알파미분
쑥가루(국산),쑥가루
볶음향미유,볶음향미유
말티톨시럽4%,말티톨시럽
펜넬100%(인도산),펜넬
아로니아100%,아로니아
구연산}양파,구연산양파
 무(국산)0.9%, 무
디엘-메티오닌,디엘메티오닌
김치24.46%[절임배추(배추/국산,김치
보리추출농축액(국산),보리추출농축액
 게엑기스(게:국산), 게엑기스
 세이버리비프향(호주산), 세이버리비프향
 조개야채엑기스(홍합:국산), 조개야채엑기스
레토르트식품):돼지고기17%(국산),레토르트식품돼지고기
폴리글리톨시럽,폴리글리톨시럽
돈뼈(수입산)42.82%,돈뼈
올레오레진세이지],올레오레진세이지
스테비올배당체혼합합제제(스테비올배당체,스테비올배당체혼합합제제
고소한양념분말,고소한양념분말
 미국산, 미국산
 인삼:국산), 인삼국산
탈지분유)혼당(기타설탕,탈지분유혼당
숯불갈비맛엑기스(쇠고기,숯불갈비맛엑기스
대두레시틴)2%,대두레시틴
콩분말] 40.79%,콩분말 
초콜릿청크,초콜릿청크
세균수기준 1A 등급),세균수기준 A 등급
레몬농축과즙액,레몬농축과즙액
치즈분말베이스,치즈분말베이스
마늘2.54%,마늘
합성향료2],합성향료
〮조미두부-유부53%,조미두부유부
닭발100%,닭발
떡갈비양념장(간장,떡갈비양념장
무염버터,무염버터
웍풍미소스,웍풍미소스
고형분 55%)1%,고형분 
된장 80.4%[대두(수입산),된장 
생감자91%(수미:국산),생감자
 조미맛단백, 조미맛단백
 카라멜색소(천연색소), 카라멜색소
블랙커런트(뉴질랜드)농축액22.02%,블랙커런트농축액
비피더스균(비피더스박테리움롱검)},비피더스균
쌈장소스34.98%[정제수,쌈장소스
폴리소프베이트80(유화제),폴리소프베이트
가쓰오혼합엑기스3.4%<고형분45.00%,가쓰오혼합엑기스고형분
 아미노베이스(밀), 아미노베이스
제빵개량제(옥수수전분,제빵개량제
밀가루21.23%(밀,밀가루
포리믹스지에이(폴리인산나트륨,포리믹스지에이
오징어를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.,오징어를 사용한 제품과 같은 제조시설에서 제조하고 있습니다
소맥분(밀 : 외국산-미국산,소맥분
볶음된장소스씨즈닝믹스,볶음된장소스씨즈닝믹스
정제수3%,정제수
 해물양념소스[고추습다데기(중국산), 해물양념소스
마늘(수입산),마늘
돈지방(국산)정제수,돈지방정제수
 건당근후레이크[당근, 건당근후레이크
 천연바닐라추출물 0.28%, 천연바닐라추출물 
가쓰오부시 분말,가쓰오부시 분말
결정포도당)6.63%,결정포도당
예가체프 블렌드커피추출액(고형분3.5%이상,예가체프 블렌드커피추출액
 유산균주, 유산균주
100,
가공유지(팜액스테아린경화유/말레이지아),가공유지
파스테아린,파스테아린
마가린/인도네시아산,마가린인도네시아산
쇠고기(호주산),쇠고기
 페닐알라닌)], 페닐알라닌
종국/중국산),종국중국산
한우뼈추출액100%[정제수,한우뼈추출액
가공버터(경화유),가공버터
아라키돈산0.54%,아라키돈산
쑥분말(국산),쑥분말
레몬농축액(레몬과즙으로10%,레몬농축액
멸치액젓(멸치),멸치액젓
육수베이스,육수베이스
냉동연육75%(베트남,냉동연육
주정0.1646%,주정
마늘(갈릭)오일,마늘오일
혼합간장[대두:인도산,혼합간장
배양약,배양약
비프엑기스J,비프엑기스J
카레분1.1%,카레분
5'구아닐산이나트륨)],구아닐산이나트륨
 시리얼류(콘푸라이트)0.28%, 시리얼류
정제염1%))5%,정제염
치자(국산),치자
매운볶음양념분C,매운볶음양념분C
천일염0.8%,천일염
바닐라추출물0.006%(프랑스산,바닐라추출물
 폴리덱스트로스P, 폴리덱스트로스P
<수입산>,수입산
돼지갈비살0.2%(국산),돼지갈비살
수크랄로스))분말·결정포도당,수크랄로스분말결정포도당
백포도농축액,백포도농축액
쌀조청[쌀(외국산)94%,쌀조청
브라질산35%,브라질산
 효모추출물], 효모추출물
국내산5%)],국내산
 커피(커피원두 : 수입산) 12.1%, 커피 
피클링설트[아질산나트륨(발색제)],피클링설트
묵은지엑기스{묵은지효소분해액[묵은지(배추:국내산,묵은지엑기스묵은지효소분해액
 난백분(계란/국산), 난백분
소고기 안창살100%,소고기 안창살
볶음양파페이스트8.4%(양파,볶음양파페이스트
 불고기맛엑기스(소스류), 불고기맛엑기스
커피[맥심 디카페인(독일산) 12.9%,커피 
보리(국산)21%,보리
밀가루 94.9%(호주산),밀가루 
 대두유 (대두), 대두유 
조제크림분말,조제크림분말
복합조미분(대두),복합조미분
 토마토페이스트26%(토마토100%, 토마토페이스트
핫케익믹스{밀가루(밀:미국산),핫케익믹스밀가루
발효식초(주요,발효식초
토마토페이스트5%,토마토페이스트
 파라다이스넛추출물(셀레늄 함유), 파라다이스넛추출물
이산화규소) *비타민E 함유,이산화규소 비타민E 함유
양념프리믹스-3,양념프리믹스
 사과농축과즙(과즙으로 28.8%, 사과농축과즙
돈지방(국내산)12.104%,돈지방
혼합탈지분유(네덜란드산:탈지분유,혼합탈지분유
약도라지,약도라지
기타설탕[고화방지분당{설탕,기타설탕
수삼(국산)1.1%,수삼
양조간장원액[정제수,양조간장원액
알파전분,알파전분
 김조미액[정백당, 김조미액
백설탕3.24%,백설탕
에프에스피-1(대두),에프에스피
국산)효소(아밀리아제)]47.2%,국산효소
락색소 ,락색소 
돼지고기,돼지고기
올리브유(수입산)3%,올리브유
혼합간장(탈지대두(외국산(미국,혼합간장
비타민B6 0.16mg,비타민B mg
당면14.79%,당면
김후레이크/*가쓰오부시,김후레이크가쓰오부시
효모(토종천연효모.SPC-SNU)알파쌀가루(쌀/국산)쌀가루(쌀/국산)정제소금,효모알파쌀가루쌀가루정제소금
티백-오가피(국산),티백오가피
고추씨기름(중국산)],고추씨기름
카레에스,카레에스
 미국산] 혼합탈지분유[탈지분유(우유), 미국산 혼합탈지분유
혼합제제(합성향료,혼합제제
 젖산나트륨]0.2%, 젖산나트륨
 초콜릿청크칩 8.24% (독일)/백설탕, 초콜릿청크칩  백설탕
옥수수(수입산)70%,옥수수
쎈텐더(아세틸아디핀산이전분),쎈텐더
복숭아과즙분말0.011%,복숭아과즙분말
